0,195947.6887,2018/02/09,20:26:43,0,0.1,0.28,0.82,0.872238499494261,
1,198802.0962,2018/02/09,20:26:46,0,0.072,0.56,0.804,0.982445927265211,
2,198826.7301,2018/02/09,20:26:46,0,0.104,0.24,0.824,0.8645183630207053,
3,198979.68,2018/02/09,20:26:46,0,-0.032,0.148,0.8,0.814203905664914,
4,199004.6677,2018/02/09,20:26:46,0,0.088,0.12,0.908,0.9201130365340989,
5,199055.3385,2018/02/09,20:26:46,0,0.12,0.352,0.864,0.9406380813043878,
6,199088.225,2018/02/09,20:26:46,0,0.16,0.56,0.824,1.009047075215027,
7,199098.873,2018/02/09,20:26:46,0,0.076,0.324,0.888,0.9483121848842817,
8,199188.9921,2018/02/09,20:26:46,0,0.324,0.624,0.556,0.896374921559054,
9,199197.5485,2018/02/09,20:26:46,0,-0.004,0.468,0.8,0.9268441077117554,
10,199203.3537,2018/02/09,20:26:46,0,-0.184,0.164,1.044,1.072701263166964,
11,199221.0891,2018/02/09,20:26:46,0,-0.028,0.0,0.804,0.8044874144447507,
12,199230.8827,2018/02/09,20:26:46,0,0.124,0.228,0.696,0.7428162626114212,
13,199310.7194,2018/02/09,20:26:46,0,0.16,0.264,0.844,0.8986834815439749,
14,199384.7646,2018/02/09,20:26:47,0,0.084,0.524,0.932,1.0724998834498771,
15,199397.0157,2018/02/09,20:26:47,0,0.144,0.444,1.172,1.2615292307354593,
16,199410.6529,2018/02/09,20:26:47,0,0.02,0.344,1.156,1.2062636527724773,
17,199458.3201,2018/02/09,20:26:47,0,0.108,0.172,1.02,1.0400230766670515,
18,199465.4116,2018/02/09,20:26:47,0,0.096,0.02,0.964,0.9689747158724008,
19,199480.3599,2018/02/09,20:26:47,0,0.12,-0.096,0.788,0.8028449414426175,
20,199525.4199,2018/02/09,20:26:47,0,0.096,-0.008,0.476,0.4856500797899656,
21,199535.0347,2018/02/09,20:26:47,0,0.292,0.332,0.496,0.6644576735955421,
22,199538.0997,2018/02/09,20:26:47,0,0.68,0.38,0.52,0.9365895579174477,
